Ashton Yes,Wat No,Michelle Stilwell Yes,,Fraser Yes,Virk Yes,Wilkinson Yes,Rustad Yes,Reimer Yes,Reimer Yes,Fassbender No,Sturdy No,Sultan Yes,Rustad Yes,Fraser Yes,Morris Yes,Hamilton No,Thornthwaite No,Anton No,Letnick No,Horne No,,Yamamoto No
Sullivan Yes,Rustad No,Oakes Yes,,Rice Yes,Pimm Yes,Hamilton Yes,Hamilton Yes,Cadieux Yes,Hunt Yes,Thomson No,Yamamoto No,Ashton Yes,Sultan Yes,Rice Yes,Cadieux Yes,Morris No,Lee No,Thornthwaite No,Plecas No,Yamamoto No,,Fassbender No
Coleman Yes,Sultan No,Virk Yes,,B. Routley Yes,Ashton Yes,Morris Yes,Hunt Yes,de Jong Yes,Lake Yes,Pimm No,Fassbender No,Sullivan Yes,Ashton Yes,B. Routley Yes,de Jong Yes,Cadieux No,Throness No,Lee No,Tegart No,Fassbender No,,Thomson No
Bennett Yes,Ashton No,Sultan Yes,, ,Sullivan Yes,Cadieux Yes,Polak Yes,Anton Yes,Anton Yes,Morris No,Thomson No,Polak Yes,Sullivan Yes, ,Bond Yes,Coleman No,Farnworth No,Throness No,Larson No,Thomson No,,Pimm No
Barnett Yes,Sullivan No,Ashton Yes,,Horne No,Clark Yes,de Jong Yes,Coleman Yes,Letnick Yes,Letnick Yes,Cadieux No,Wilkinson No,Anton Yes,Polak Yes,Horne No,Barnett Yes,Letnick No,Fleming No,Farnworth No,Gibson No,Wilkinson No,,Reimer No
Plecas Yes,Polak No,Cadieux Yes,,Hogg No,Bond Yes,Bond Yes,Bennett Yes,Thornthwaite Yes,Thornthwaite Yes,de Jong No,Hamilton No,Barnett Yes,Anton Yes,Yamamoto No,McRae Yes,Plecas No,Austin No,Fleming No,Sturdy No,Hamilton No,,Sullivan No
Throness Yes,Anton No,de Jong Yes,,Stone No,Yap Yes,Yap Yes,Yap Yes,Lee Yes,Lee Yes,Bond No,Morris No,McRae Yes,Barnett Yes,Fassbender No,Throness Yes,Tegart No,Larson No,Austin No,Yamamoto No,Morris No,,Polak No
Weaver Yes,Barnett No,Anton Yes,,Wat No,Plecas Yes,Plecas Yes,Plecas Yes,Throness Yes,Bernier Yes,Thornthwaite No,Cadieux No,Tegart Yes,McRae Yes,Virk No,Dalton Yes,Simpson No,Mungall No,Larson No,Fassbender No,Lake No,,Bond No
Gibson Yes,Plecas No,Letnick Yes,,Rustad No,Tegart Yes,Tegart Yes,Tegart Yes,Foster Yes,Dalton Yes,Lee No,de Jong No,Larson Yes,Tegart Yes,Pimm No,Gibson Yes,Horgan No,Darcy No,Mungall No,Virk No,Coleman No,,Barnett No
 ,Tegart No,McRae Yes,,Sultan No,Larson Yes,Larson Yes,Larson Yes,Moira Stilwell Yes,Moira Stilwell Yes,Throness No,Bennett No,Gibson Yes,Larson Yes,Reimer No, ,Corrigan No,Trevena No,Darcy No,Pimm No,Bennett No,,Plecas No
 ,Larson No,Kyllo Yes,,Morris No,Martin Yes,Martin Yes,Gibson Yes, , ,Foster No,Yap No, ,Gibson Yes,Hunt No,Hammell No,Kwan No,Gibson No,Trevena No,Reimer No,Yap No,,Throness No
 ,Martin No,Huntington Yes,,Cadieux No,Moira Stilwell Yes,Moira Stilwell Yes, ,Hammell No,Hammell No,Sturdy No,Kyllo No,Hammell No, ,Lake No,Horgan No,Chandra Herbert No,Bing No,Gibson No,Hunt No,Plecas No,,Foster No
Simpson No,Sturdy No,Foster Yes,,Coleman No, , ,Hammell No,Farnworth No,Farnworth No,Yamamoto No,Huntington No,Horgan No,Hammell No,Coleman No,Ralston No,Foster No,Michelle Stilwell No,Bing No,Polak No,Throness No,,Bing No
James No,Yamamoto No,Gibson Yes,,Letnick No,Hammell No,Hammell No,Farnworth No,Ralston No,Dix No,Oakes No,Foster No,Ralston No,Horgan No,Bennett No,Popham No,Eby No,Wat No,Michelle Stilwell No,Anton No,Dalton No,,Michelle Stilwell No
Corrigan No,Fassbender No, ,,McRae No,James No,Farnworth No,Ralston No,Popham No,Fleming No,Rustad No,Martin No,Kwan No,Ralston No,Sturdy No,Austin No,Heyman No,Rustad No,Wat No,Thornthwaite No,Sturdy No,,Oakes No
Conroy No,Thomson No,Hammell No,,Tegart No,Fleming No,Dix No,Popham No,Chandra Herbert No,Conroy No,Hamilton No, No,Chandra Herbert No,Kwan No,Michelle Stilwell No,Macdonald No,Trevena No,Sultan No,Rustad No,Lee No,Michelle Stilwell No,,Rustad No
Fraser No,Wilkinson No,Farnworth No,,Larson No,Conroy No,Fleming No,Chandra Herbert No,Eby No,Huntington No,Hunt No,Bing No,Karagianis No,Chandra Herbert No,Oakes No,Mungall No,Fraser No,Ashton No,Sultan No,Throness No,Oakes No,,Sultan No
Karagianis No,Hamilton No,Dix No,,Gibson No,Huntington No,Conroy No,Eby No,Shin No,Eby No,Lake No,Michelle Stilwell No,Bains No,Karagianis No,Rustad No,Shin No,Gibson No,Cadieux No,Ashton No,Foster No,Virk No,,Ashton No
Bains No,Morris No,Popham No,,Sturdy No,Eby No,Huntington No,Shin No,Krog No,Elmore No,Coleman No,Oakes No,Heyman No,Bains No,Sultan No,Donaldson No,Rice No,de Jong No,Cadieux No,Bing No,Pimm No,,Cadieux No
Darcy No,Cadieux No,Chandra Herbert No,,Yamamoto No,Elmore No,Eby No,Krog No,Simons No,Darcy No,Letnick No,Virk No,Krog No,Heyman No,Ashton No,D. Routley No,B. Routley No,Bond No,de Jong No,Michelle Stilwell No,Reimer No,,de Jong No
Trevena No,de Jong No,Elmore No,,Fassbender No,Darcy No,Shin No,Simons No,Rice No,Trevena No,McRae No,Pimm No,Fraser No,Krog No,Sullivan No,Weaver No,,McRae No,Bond No,Wat No,Hunt No,,Bennett No
Robinson No,Bond No,Darcy No,,Thomson No,D. Routley No,Donaldson No,Holman No,Simpson No,Fraser No,Kyllo No,Reimer No,Rice No,Fraser No,Polak No,Holman No,Bing No,Kyllo No,McRae No,Rustad No,Polak No,,Thornthwaite No
Dix No,Thornthwaite No,Trevena No,,Wilkinson No,Weaver No,Simons No,Simpson No,James No,Rice No,Bernier No,Hunt No,Simpson No,Holman No,Anton No,Simpson No,Michelle Stilwell No,Hammell No,Kyllo No,Sultan No,Anton No,,Kyllo No
Fleming No,Lee No,Weaver No,,Hamilton No,Simpson No,Rice No,James No,Corrigan No,Simpson No,Martin No,Lake No,James No,Simpson No,Letnick No,James No,Oakes No,James No,Hammell No,Ashton No,Letnick No,,Bernier No
Austin No,Throness No,Holman No,,Hunt No,Dix No,Simpson No,Corrigan No,Kwan No,Horgan No,Moira Stilwell No,Coleman No,Corrigan No,James No,Bing No,Corrigan No,Virk No,Popham No,James No,Cadieux No,Thornthwaite No,,Martin No
Huntington No,Foster No,Simpson No,,Lake No,Popham No,Horgan No,Kwan No,Huntington No,Ralston No,Bing No,Letnick No,Conroy No,Corrigan No,Stone No,Kwan No,Pimm No,Huntington No,Popham No,de Jong No,Kyllo No,,Moira Stilwell No
Eby No,Gibson No,Horgan No,,Anton No,Austin No,Ralston No,Huntington No,Bains No,Popham No,Stone No,Thornthwaite No,Huntington No,Conroy No,Thomson No,Chandra Herbert No,Reimer No,Foster No,,Bond No,Larson No,,Hogg No
Elmore No,Bing No,Ralston No,,Barnett No,Macdonald No,Popham No,Bains No,Heyman No,Austin No,Wat No,Tegart No,Eby No,Huntington No,Wilkinson No,Karagianis No,Hunt No,Bains No,Foster No,McRae No,Martin No,,Stone No
Donaldson No,Michelle Stilwell No,Kwan No,,Plecas No,Mungall No,Austin No,Heyman No,Trevena No,Macdonald No,Wilkinson No,Bernier No,Elmore No,Eby No,Hamilton No,Bains No,Lake No,Donaldson No,Bains No,Kyllo No,Bing No,,Wat No
Simons No,Oakes No,Karagianis No,,Throness No,Shin No,Macdonald No,Trevena No,Weaver No,Mungall No,Reimer No,Weaver No,Darcy No,Elmore No,Morris No,Heyman No,Anton No,Fraser No,Donaldson No,Bernier No,Stone No,,Wilkinson No
Holman No,Virk No,Shin No,,Foster No,Krog No,Bains No,Weaver No,Holman No,Shin No,Sullivan No,Gibson No,Trevena No,Darcy No,Cadieux No,Krog No,Barnett No,Moira Stilwell No,Fraser No,Martin No,Wat No,,Hamilton No
Farnworth No,Pimm No,Donaldson No,,Bing No,Simons No,Heyman No,Robinson No,Robinson No,Donaldson No,Polak No,Hogg No,Weaver No,Trevena No,de Jong No,Simons No,Lee No,B. Routley No,Moira Stilwell No,Moira Stilwell No,Rustad No,,Morris No
Ralston No,Reimer No,D. Routley No,,Michelle Stilwell No,Chouhan No,Krog No,Dix No,Dix No,D. Routley No,Anton No,Stone No,Holman No,Weaver No,Bond No,Chouhan No,Throness No,,B. Routley No,,Sultan No,,Lake No
Popham No,Hunt No,Chouhan No,,Oakes No,B. Routley No,Fraser No,Fleming No,Fleming No,Weaver No,Barnett No,Wat No,Robinson No,Robinson No,Barnett No,Robinson No,Robinson No,,,,Ashton No,,Anton No
Chandra Herbert No,Lake No,Robinson No,,Virk No,Farnworth No,Holman No,Conroy No,Conroy No,Holman No,Plecas No,Rustad No,Dix No,Dix No,Yap No,Dix No,James No,,,,Sullivan No,,Letnick No
Macdonald No,Coleman No,James No,,Pimm No,Ralston No, No,Karagianis No,Karagianis No,Robinson No,Tegart No,Sultan No,Fleming No,Fleming No,Plecas No,Fleming No,Fleming No,,,,de Jong No,,McRae No
Mungall No,Letnick No,Corrigan No,,Ashton No,Kwan No,Robinson No,Elmore No,Elmore No,James No,Larson No,Ashton No,Austin No,Austin No,Larson No,Conroy No,Conroy No,,,,Bond No,,Tegart No
Heyman No,McRae No,Austin No,,Sullivan No,Chandra Herbert No,James No,Darcy No,Darcy No,Corrigan No,Gibson No,Sullivan No,Macdonald No,Macdonald No,Martin No,Huntington No,Bernier No,,,,Barnett No,,Larson No
Krog No,Kyllo No,Bains No,,Polak No,Karagianis No,Corrigan No,D. Routley No,D. Routley No,Kwan No,,Polak No,Mungall No,Mungall No,Thornthwaite No,Eby No,Macdonald No,,,,McRae No,,Gibson No
Rice No,Bernier No,Heyman No,,Bond No,Bains No,Kwan No,Rice No,Chouhan No,Chandra Herbert No,,Anton No,Shin No,Shin No,Kyllo No,Elmore No,Mungall No,,,,Tegart No,,
,Dalton No,Krog No,,Thornthwaite No,Heyman No,Chandra Herbert No,B. Routley No,B. Routley No,Karagianis No,,Barnett No,Donaldson No,Donaldson No,Foster No,Darcy No,Darcy No,,,,Foster No,,
,Moira Stilwell No,Simons No,,Kyllo No,Trevena No,Karagianis No,,,Bains No,,McRae No,Simons No,Simons No,McRae No,Trevena No,D. Routley No,,,,Gibson No,,
,,Rice No,,Bernier No,Fraser No,Elmore No,,,Heyman No,,Throness No,Moira Stilwell No,Rice No,Throness No,Fraser No,Dalton No,,,,,,
,,B. Routley No,,Martin No,Holman No,Darcy No,,,Krog No,,Larson No,B. Routley No,B. Routley No,Dalton No,Rice No,Moira Stilwell No,,,,,,
,,,,Moira Stilwell No,,Trevena No,,,Simons No,,Dalton No,,,Gibson No,B. Routley No,Holman No,,,,,,
,,,,,,Weaver No,,,Chouhan No,,Moira Stilwell No,,,,,,,,,,,
,,,,,,B. Routley No,,,B. Routley No,,,,,,,,,,,,,
